                         from.gene                        to.gene          im
1                    ycfP_b1108_at                  malF_b4033_at 0.008649257
2                    yjjG_b4374_at                   pfs_b0159_at 0.007627152
3                  gltW_b2590_s_at                gltT_b3969_s_at 0.007448565
4                    sulA_b0958_at                  yhdM_b3292_at 0.007423980
5                    yijI_b3948_at                  trpB_b1261_at 0.007154548
6                    gdhA_b1761_at                metT_b0673_s_at 0.007140683
7                    yhjV_b3539_at                gltW_b2590_s_at 0.006924559
8                    yrfE_b3397_at                  atoD_b2221_at 0.006841340
9                  ileU_b3277_s_at                  trpE_b1264_at 0.006815639
10                   cyoE_b0428_at                  fhuA_b0150_at 0.006797588
11                   glnB_b2553_at                  yheO_b3346_at 0.006783172
12                   ybgA_b0707_at                  ygcF_b2777_at 0.006764527
13                   pitA_b3493_at                  sfcA_b1479_at 0.006763321
14                   ybiA_b0798_at                  rpoZ_b3649_at 0.006735039
15                   yrbF_b3195_at                  yfjB_b2615_at 0.006732101
16                   pstB_b3725_at          FPLMCG_Protein-E_w_at 0.006708946
17                   yadM_b0138_at                 INM13X_II_3_at 0.006664733
18                   rsuA_b2183_at                  uxaC_b3092_at 0.006659602
19                 gapC_2_b1416_at                  napH_b2204_at 0.006644846
20                   htpX_b1829_at                 LAMCG_Fii_w_at 0.006635637
21                   dnaN_b3701_at                  hyaF_b0977_at 0.006622997
22                   yghQ_b2983_at                aspU_b0206_s_at 0.006622373
23                   htrL_b3618_at                pheV_b2967_s_at 0.006621409
24                   sohB_b1272_at                  ybhE_b0767_at 0.006598188
25                        b2670_at                   ppc_b3956_at 0.006590540
26                   lrhA_b2289_at                  ybhE_b0767_at 0.006575160
27                   rpoD_b3067_at                  folD_b0529_at 0.006568140
28                   pnuC_b0751_at                  wecG_b3794_at 0.006510955
29                   yecI_b1902_at IG_2863_4606893_4606982_fwd_at 0.006480678
30                   yidR_b3689_at    IG_486_765099_783104_rev_at 0.006401293
31                   gpmB_b4395_at                  malM_b4037_at 0.006367093
32                 seqA_b0687_f_at                  yecP_b1871_at 0.006348263
33                   folE_b2153_at                  appB_b0979_at 0.006319165
34                   yjeF_b4167_at                  secG_b3175_at 0.006310741
35                   hypD_b2729_at                   INM13X_IV_at 0.006307464
36                   metG_b2114_at                  yheH_b3330_at 0.006306341
37                   ugpQ_b3449_at                  aroA_b0908_at 0.006273674
38                   napG_b2205_at                  yaaF_b0030_at 0.006255732
39                   yigN_b3832_at                  hupB_b0440_at 0.006255724
40                   yigP_b3834_at                  miaA_b4171_at 0.006244329
41                        b1686_at                  ycbB_b0925_at 0.006239926
42                   yagU_b0287_at                  yjiL_b4334_at 0.006200768
43                   mdlB_b0449_at                  ycjX_b1321_at 0.006188629
44                   yggG_b2936_at                   map_b0168_at 0.006184506
45                   yiiX_b3937_at                rrlC_b3758_f_at 0.006155406
46                   vacJ_b2346_at                  yjhT_b4310_at 0.006149814
47  IG_1427_2261516_2275912_rev_at    IG_196_310561_311737_rev_at 0.006119229
48                   yfiQ_b2584_at                  yncB_b1449_at 0.006110619
49                   smpA_b2617_at                  yqjB_b3096_at 0.006094159
50                   dsbC_b2893_at                  lpdA_b0116_at 0.006092243
51                   aroF_b2601_at                  exuT_b3093_at 0.006083861
52                        b2989_at                 PP1REP_parA_at 0.006083427
53                   ybeN_b0639_at                  phnO_b4093_at 0.006067737
54                   yagJ_b0276_at                  wzzE_b3785_at 0.006047745
55                   ydaR_b1356_at                       b1840_at 0.006037191
56                   tyrR_b1323_at                  yhjT_b3537_at 0.006032022
57                   hyfE_b2485_at                   aas_b2836_at 0.006019013
58                   rpsQ_b3311_at                  hyaF_b0977_at 0.006018146
